Blk_num,Pond_num,Area_m2,H2O_vol_m3
4,4_1,1930,601
8,8_1,71670,39241
8,8_2,43651,22119
8,8_3,36804,18159
8,8_4,28754,13651
8,8_5,27953,13212
8,8_6,27694,13070
8,8_7,23466,10792
8,8_8,15018,6442
8,8_9,14431,6151
8,8_10,14288,6081
8,8_11,13149,5524
8,8_12,10192,4115
8,8_13,5388,1969
8,8_14,5154,1871
8,8_15,4993,1803
8,8_16,2940,978
8,8_17,2877,953
8,8_18,1927,600
8,8_19,1879,582
8,8_20,1852,573
8,8_21,1586,479
8,8_22,1544,464
8,8_23,1187,342
8,8_24,1032,291
8,8_25,763,205
8,8_26,578,149
8,8_27,517,131
8,8_28,405,99
8,8_29,396,96
8,8_30,380,92
8,8_31,369,89
8,8_32,227,51
8,8_33,211,47
8,8_34,203,44
8,8_35,166,35
8,8_36,154,32
8,8_37,110,22
8,8_38,84,16
12,12_1,6166,2301
12,12_2,2692,883
12,12_3,2493,808
12,12_4,2254,719
12,12_5,2253,719
12,12_6,2128,673
12,12_7,2045,642
12,12_8,2019,633
12,12_9,1912,594
12,12_10,1303,381
12,12_11,1283,375
12,12_12,1206,349
12,12_13,1123,321
12,12_14,1103,315
12,12_15,1042,295
12,12_16,858,235
12,12_17,807,219
12,12_18,735,197
12,12_19,733,196
12,12_20,659,173
12,12_21,654,172
12,12_22,610,158
12,12_23,548,140
12,12_24,474,119
12,12_25,469,117
12,12_26,413,101
12,12_27,368,88
12,12_28,227,51
12,12_29,170,36
16,16_1,12374,5149
16,16_2,5667,2087
16,16_3,4215,1482
16,16_4,3541,1212
16,16_5,3065,1026
16,16_6,1225,355
16,16_7,918,254
16,16_8,884,244
16,16_9,748,201
16,16_10,519,132
16,16_11,342,81
16,16_12,330,78
16,16_13,284,65
16,16_14,251,57
20,20_1,249889,166295
20,20_2,184287,116942
20,20_3,103196,59814
20,20_4,31300,15057
20,20_5,23037,10565
20,20_6,12092,5014
20,20_7,8307,3248
20,20_8,6850,2599
20,20_9,4911,1769
20,20_10,4554,1621
20,20_11,4338,1533
20,20_12,2758,908
20,20_13,2307,739
20,20_14,1435,427
20,20_15,1250,363
20,20_16,1197,346
20,20_17,1050,297
20,20_18,955,266
20,20_19,790,214
20,20_20,714,190
20,20_21,500,126
20,20_22,457,114
20,20_23,418,103
20,20_24,358,86
20,20_25,337,80
20,20_26,265,60
20,20_27,234,52
20,20_28,199,43
20,20_29,179,38
20,20_30,173,37
20,20_31,156,33
20,20_32,156,33
20,20_33,116,23
20,20_34,113,23
20,20_35,44,8
24,24_1,160188,99448
24,24_2,18672,8286
24,24_3,16534,7200
24,24_4,15272,6568
24,24_5,9124,3620
24,24_6,1923,598
24,24_7,1673,510
24,24_8,1588,479
24,24_9,1430,425
24,24_10,1178,339
24,24_11,898,248
24,24_12,882,243
24,24_13,832,227
28,28_1,23842,10992
28,28_2,17951,7917
28,28_3,16798,7333
28,28_4,9739,3904
28,28_5,7016,2672
28,28_6,6359,2385
28,28_7,5070,1836
28,28_8,4310,1521
28,28_9,2079,655
28,28_10,1941,605
28,28_11,1343,395
28,28_12,1151,331
28,28_13,306,71
32,32_1,16491,7177
32,32_2,2785,918
32,32_3,2581,841
32,32_4,1121,320
32,32_5,451,112
36,36_1,14314,6094
36,36_2,10013,4032
36,36_3,7156,2734
36,36_4,5491,2013
36,36_5,3302,1118
36,36_6,1418,421
36,36_7,1207,349
36,36_8,1074,305
36,36_9,1023,288
36,36_10,1019,287
36,36_11,1011,284
36,36_12,846,231
36,36_13,210,46
40,40_1,28146,13317
40,40_2,19402,8662
40,40_3,12176,5054
40,40_4,12146,5040
40,40_5,10991,4490
40,40_6,8697,3425
40,40_7,8227,3212
40,40_8,8106,3158
40,40_9,7689,2970
40,40_10,7235,2769
40,40_11,6689,2529
40,40_12,6258,2341
40,40_13,5845,2163
40,40_14,4263,1502
40,40_15,3789,1310
40,40_16,3068,1027
40,40_17,3064,1025
40,40_18,2991,997
40,40_19,2920,970
40,40_20,2902,963
40,40_21,1869,579
40,40_22,1523,457
40,40_23,1469,438
40,40_24,1465,437
40,40_25,1238,360
40,40_26,1157,332
40,40_27,1114,318
40,40_28,977,273
40,40_29,949,264
40,40_30,922,256
40,40_31,835,228
40,40_32,776,210
40,40_33,760,204
40,40_34,632,165
40,40_35,618,161
40,40_36,607,158
40,40_37,522,132
40,40_38,509,129
40,40_39,419,103
40,40_40,414,101
40,40_41,367,88
40,40_42,340,81
40,40_43,304,71
40,40_44,267,61
40,40_45,153,32
40,40_46,113,23
40,40_47,91,18
40,40_48,79,15
40,40_49,47,8
44,44_1,49784,25750
44,44_2,32496,15725
44,44_3,21421,9712
44,44_4,12189,5061
44,44_5,11354,4662
44,44_6,7361,2824
44,44_7,7134,2724
44,44_8,3441,1173
44,44_9,2590,844
44,44_10,2231,710
44,44_11,1951,608
44,44_12,1734,531
44,44_13,1679,511
44,44_14,1674,510
44,44_15,1539,463
44,44_16,1525,458
44,44_17,1476,441
44,44_18,1131,324
44,44_19,1003,282
44,44_20,962,269
44,44_21,732,196
44,44_22,663,175
44,44_23,640,168
44,44_24,637,167
44,44_25,383,93
44,44_26,300,70
44,44_27,60,11
44,44_28,58,11
48,48_1,20508,9235
48,48_2,5638,2075
48,48_3,4700,1682
48,48_4,4203,1477
48,48_5,1859,575
48,48_6,1262,368
48,48_7,399,97
48,48_8,353,84
48,48_9,201,44
52,52_1,3123,1048
52,52_2,1866,578
